"user_id","data","emotion","timestamp","created_at","updated_at"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:05.986Z","2024-11-18T07:03:05.986Z","2024-11-18T07:03:05.986Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:06.165Z","2024-11-18T07:03:06.165Z","2024-11-18T07:03:06.165Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:06.313Z","2024-11-18T07:03:06.313Z","2024-11-18T07:03:06.313Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:06.473Z","2024-11-18T07:03:06.473Z","2024-11-18T07:03:06.473Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:06.636Z","2024-11-18T07:03:06.636Z","2024-11-18T07:03:06.636Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:06.804Z","2024-11-18T07:03:06.804Z","2024-11-18T07:03:06.804Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:06.968Z","2024-11-18T07:03:06.968Z","2024-11-18T07:03:06.968Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:07.142Z","2024-11-18T07:03:07.142Z","2024-11-18T07:03:07.142Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:07.295Z","2024-11-18T07:03:07.295Z","2024-11-18T07:03:07.295Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:07.461Z","2024-11-18T07:03:07.461Z","2024-11-18T07:03:07.461Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:07.628Z","2024-11-18T07:03:07.628Z","2024-11-18T07:03:07.628Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:07.793Z","2024-11-18T07:03:07.793Z","2024-11-18T07:03:07.793Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:07.960Z","2024-11-18T07:03:07.960Z","2024-11-18T07:03:07.960Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:08.124Z","2024-11-18T07:03:08.124Z","2024-11-18T07:03:08.124Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:08.627Z","2024-11-18T07:03:08.627Z","2024-11-18T07:03:08.627Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:08.807Z","2024-11-18T07:03:08.807Z","2024-11-18T07:03:08.807Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:08.959Z","2024-11-18T07:03:08.959Z","2024-11-18T07:03:08.959Z"
"6734d981965d1907599ff207","12",,"2024-11-18T07:03:09.187Z","2024-11-18T07:03:09.187Z","2024-11-18T07:03:09.187Z"
